source_name,extracted_at,location_id,city_name,country_code,date,latitude,longitude,timezone,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,snowfall_sum,wind_speed_10m_max
forecast,2026-06-24T17:37:30+00:00,2759794,Amsterdam,NL,2026-06-27,52.366,4.901,Europe/Amsterdam,35.3,20.8,28.9,0.0,0.0,0.0,12.2
forecast,2026-06-24T17:37:30+00:00,2759794,Amsterdam,NL,2026-06-28,52.366,4.901,Europe/Amsterdam,24.5,20.2,22.9,7.8,0.4,0.0,14.8
forecast,2026-06-24T17:37:30+00:00,2759794,Amsterdam,NL,2026-06-29,52.366,4.901,Europe/Amsterdam,21.9,16.6,19.8,0.0,0.0,0.0,13.4
forecast,2026-06-24T17:37:30+00:00,2759794,Amsterdam,NL,2026-06-30,52.366,4.901,Europe/Amsterdam,23.5,15.5,19.5,0.0,0.0,0.0,4.6
forecast,2026-06-24T17:37:30+00:00,2800866,Brussels,BE,2026-06-24,50.854,4.35,Europe/Brussels,38.5,24.7,32.1,0.0,0.0,0.0,15.1
forecast,2026-06-24T17:37:30+00:00,2800866,Brussels,BE,2026-06-25,50.854,4.35,Europe/Brussels,38.4,27.0,32.9,0.0,0.0,0.0,18.7
forecast,2026-06-24T17:37:30+00:00,2800866,Brussels,BE,2026-06-26,50.854,4.35,Europe/Brussels,38.5,29.1,33.8,0.0,0.0,0.0,26.6
forecast,2026-06-24T17:37:30+00:00,2800866,Brussels,BE,2026-06-27,50.854,4.35,Europe/Brussels,36.8,25.4,31.8,0.3,0.1,0.0,14.8
forecast,2026-06-24T17:37:30+00:00,2800866,Brussels,BE,2026-06-28,50.854,4.35,Europe/Brussels,31.5,22.8,24.5,4.2,3.0,0.0,14.7
forecast,2026-06-24T17:37:30+00:00,2800866,Brussels,BE,2026-06-29,50.854,4.35,Europe/Brussels,25.0,17.8,21.2,0.0,0.0,0.0,14.5
forecast,2026-06-24T17:37:30+00:00,2800866,Brussels,BE,2026-06-30,50.854,4.35,Europe/Brussels,23.1,16.0,19.6,0.0,0.0,0.0,10.0
forecast,2026-06-24T17:37:30+00:00,2643743,London,GB,2026-06-24,51.5,-0.25,Europe/London,35.9,23.8,29.4,0.0,0.0,0.0,15.5
